id,entity_type,name,company_manufacturer,category,official_website_url,official_logo_url,runs_models,hardware_type_specs,release_year_status,description,source_name,source_url,,,,,,,,,,,,,
4df6f567-7f26-563d-94f6-69c9ce35b4bc,Device,GroqCard PCIe Accelerator,Groq Inc.,LPU Inference Accelerator,https://groq.com,https://www.google.com/s2/favicons?domain=groq.com&sz=128,"GroqCompiler, Llama 3 8B/70B, Mixtral 8x7B, Whisper","Language Processing Unit (LPU) Chip, 230MB On-Chip SRAM, 80 TB/s Memory Bandwidth, PCIe Gen4 x16",2023 / Available,"A specialized PCIe inference accelerator featuring an LPU architecture designed for low-latency, high-throughput LLM token generation.",Official Product Site / Specifications,https://groq.com,,,,,,,,,,,,,
ba11309e-76df-587e-b804-e91b372b784b,Device,Google Coral Dev Board,Google Cloud / Coral,Edge TPU Single Board Computer,https://coral.ai/products/dev-board,https://www.google.com/s2/favicons?domain=coral.ai&sz=128,"TensorFlow Lite, Edge TPU Compiler, MobileNet v2, SSD MobileNet","NXP i.MX 8M SoC, Google Edge TPU Coprocessor (4 TOPS), 1GB/4GB LPDDR4, Wi-Fi/Bluetooth, MicroSD",2019 / Available,"A single-board computer with a removable system-on-module featuring Google's Edge TPU coprocessor for fast, low-power local machine learning.",Official Product Site / Specifications,https://coral.ai/products/dev-board,,,,,,,,,,,,,
49c23df2-eb45-51eb-b776-85fb3727002b,Device,Google Coral USB Accelerator,Google Cloud / Coral,Edge TPU USB Dongle,https://coral.ai/products/accelerator,https://www.google.com/s2/favicons?domain=coral.ai&sz=128,"TensorFlow Lite, AutoML Vision Edge","Google Edge TPU Coprocessor (4 TOPS @ 2W), USB 3.0 Type-C Interface, Cross-platform Linux/Mac/Windows Support",2019 / Available,"A compact USB coprocessor dongle that brings 4 TOPS Edge TPU machine learning acceleration to existing Linux, macOS, and Windows systems.",Official Product Site / Specifications,https://coral.ai/products/accelerator,,,,,,,,,,,,,
440b39d3-2389-5d20-9186-fd2dc5fba17d,Device,Looking Glass Go,Looking Glass Factory,Hologram AI Display,https://lookingglassfactory.com/looking-glass-go,https://www.google.com/s2/favicons?domain=lookingglassfactory.com&sz=128,"Spatial AI Portrait Generator, LiteLLM Hologram Companion","Pocket-sized Hologram Display, 58° Viewing Cone, USB-C Power, Wi-Fi Connectivity, Custom Light Field Optical Stack",2024 / Available,A portable holographic display device that uses spatial AI to transform 2D photos and 3D assets into interactive holographic characters and memories.,Official Product Site / Specifications,https://lookingglassfactory.com/looking-glass-go,,,,,,,,,,,,,
a813ee6a-0977-584d-a4dd-5c6e5a953584,Device,Framework Laptop 16 AI PC,Framework Computer Inc.,Modular AI Laptop / PC,https://frame.work/products/laptop-16,https://www.google.com/s2/favicons?domain=frame.work&sz=128,"ONNX Runtime, Ryzen AI, Local Llama 3 via Ollama","AMD Ryzen 7040 / 9000 Series Processor with Ryzen AI NPU, Modular Expansion Bay Graphics, Swappable Ports",2024 / Available,"A fully repairable, modular 16-inch high-performance laptop powered by AMD Ryzen processors with integrated neural processing units for local AI workloads.",Official Product Site / Specifications,https://frame.work/products/laptop-16,,,,,,,,,,,,,
4fef2be2-087b-5009-aadb-060f05cd0f87,Device,Oura Ring Gen3,Oura Health Oy,Smart Ring / Health AI,https://ouraring.com,https://www.google.com/s2/favicons?domain=ouraring.com&sz=128,"Oura Advisor AI, Sleep Staging Machine Learning, Cardiovascular Age ML","Titanium Body with PVD Coating, Research-Grade PPG Sensors, NTC Skin Temperature Sensors, 3D Accelerometer, 7-Day Battery",2021 / Available,"A smart ring equipped with medical-grade biometrics and predictive AI models to track sleep architecture, readiness, stress, and cardiovascular health.",Official Product Site / Specifications,https://ouraring.com,,,,,,,,,,,,,
d673d3f3-8bb0-5280-bdaa-f7b665f78c68,Device,Friend AI Pendant,Friend,AI Companion Wearable,https://www.friend.com,https://www.google.com/s2/favicons?domain=www.friend.com&sz=128,"Friend OS, Claude 3.5 Sonnet, GPT-4o","Necklace Form Factor, Bluetooth Low Energy, Continuous Microphone, Rechargeable Battery, Custom LED Ring",2025 / Pre-order,"An always-listening companion pendant designed to provide emotional companionship, pro-active text notifications, and conversational support via Bluetooth.",Official Product Site / Specifications,https://www.friend.com,,,,,,,,,,,,,
6bc34053-51bc-586e-952c-37587cafa6e6,Device,Luxonis OAK-D Lite,Luxonis,Spatial AI Vision Camera,https://shop.luxonis.com/products/oak-d-lite,https://www.google.com/s2/favicons?domain=shop.luxonis.com&sz=128,"DepthAI Pipeline, Intel Myriad X VPU, YOLOv8, MobileNet","4K Color Camera, Stereo Depth Pair, Intel Myriad X VPU (1.4 TOPS), USB-C 3.0, Onboard Spatial Processing",2021 / Available,"An entry-level spatial AI camera platform combining 4K color vision, stereo depth perception, and onboard neural inference acceleration.",Official Product Site / Specifications,https://shop.luxonis.com/products/oak-d-lite,,,,,,,,,,,,,
6327e089-5734-54d1-b4ec-e42f28747f4c,Device,Luxonis OAK-D Pro,Luxonis,Industrial Spatial AI Camera,https://shop.luxonis.com/products/oak-d-pro,https://www.google.com/s2/favicons?domain=shop.luxonis.com&sz=128,"DepthAI Engine, Robotics Perception ML, Object Tracking Spatial Models","Active IR Dot Projector, IR Illumination LED, 12MP RGB Camera, Stereo Depth Sensors, Robotics M12/Power Connector",2022 / Available,An industrial spatial AI camera equipped with active infrared dot projection and flood illumination for reliable 3D perception in low-light environments.,Official Product Site / Specifications,https://shop.luxonis.com/products/oak-d-pro,,,,,,,,,,,,,
dddbff41-3fd8-5d2a-9b01-b188cb0efd40,Device,Sipeed MaixCAM,Sipeed,RISC-V Vision AI Module,https://wiki.sipeed.com/hardware/en/maixcam/index.html,https://www.google.com/s2/favicons?domain=wiki.sipeed.com&sz=128,"MaixPy Framework, CV1811H NPU, YOLOv5-Nano, MobileFaceNet","RISC-V 1GHz Dual Core, 1 TOPS NPU, 128MB DDR3, Touchscreen Display Slot, Wi-Fi 4 / BLE 4.2",2024 / Available,A low-cost RISC-V camera module featuring a 1 TOPS neural processing unit tailored for TinyML edge vision applications and DIY AI prototyping.,Official Product Site / Specifications,https://wiki.sipeed.com/hardware/en/maixcam/index.html,,,,,,,,,,,,,
d9937670-5751-57dd-9ff5-ff397f695125,Device,Xreal Air 2 Ultra,Xreal,AR Smart Glasses / Spatial Computing,https://www.xreal.com/air2ultra,https://www.google.com/s2/favicons?domain=www.xreal.com&sz=128,"Xreal Nebula OS, 6DoF Spatial Tracking ML, Hand Gesture Classifier","Dual Sony Micro-OLED Displays (52° FoV), 6DoF Dual Environment Sensors, Titanium Frame, USB-C DisplayPort",2024 / Available,"Advanced spatial computing AR glasses featuring 6DoF environment mapping, dual spatial tracking cameras, and micro-OLED virtual screens for developers.",Official Product Site / Specifications,https://www.xreal.com/air2ultra,,,,,,,,,,,,,
66753572-b2f3-55d4-98fe-b2550a0aa2f8,Device,Rokid Max 2 / AR Lite,Rokid,AR Spatial Glasses,https://global.rokid.com,https://www.google.com/s2/favicons?domain=global.rokid.com&sz=128,"YodaOS-Master, Spatial Desktop Engine, AI Voice Assistant","Sony Micro-OLED Displays (50° FoV, 120Hz), Rokid Station 2 Computing Pack (Snapdragon chip), Dual HD Cameras",2024 / Available,"A portable AR glasses suite powered by a dedicated computational pack for spatial multitasking, virtual cinema display, and interactive productivity.",Official Product Site / Specifications,https://global.rokid.com,,,,,,,,,,,,,
1bcee570-dc72-5e0c-a703-7762492d5965,Device,Even Realities G1,Even Realities,Minimalist Optical Smart Glasses,https://www.evenrealities.com,https://www.google.com/s2/favicons?domain=www.evenrealities.com&sz=128,"Even AI Assistant, LLM Live Translate Engine, Speech Teleprompter ML","Monochromatic Micro-LED Optical Waveguide Display, Ultra-light Titanium Frame, Touchpad Temple Controls, Charging Case",2024 / Available,"Minimalist, prescription-ready smart glasses with optical waveguide displays providing heads-up navigation, real-time speech teleprompter, and live translation.",Official Product Site / Specifications,https://www.evenrealities.com,,,,,,,,,,,,,
802d4ad6-eda4-5791-9136-70d1e0c783fd,Device,Qualcomm Snapdragon X Elite PC Platform,Qualcomm Technologies,AI PC Processor / SoC,https://www.qualcomm.com/products/mobile/snapdragon/laptops/snapdragon-x-elite,https://www.google.com/s2/favicons?domain=www.qualcomm.com&sz=128,"Qualcomm AI Stack, Copilot+ PC ML Pipeline, Local Llama 3 8B, Whisper","12-Core Oryon CPU, Adreno GPU, Hexagon NPU with 45 TOPS Performance, 4nm Architecture",2024 / Available,An ARM-based system-on-chip featuring a 45 TOPS Hexagon NPU powering Microsoft Copilot+ AI PCs with efficient local generative model processing.,Official Product Site / Specifications,https://www.qualcomm.com/products/mobile/snapdragon/laptops/snapdragon-x-elite,,,,,,,,,,,,,
672e8427-cdb3-51e3-a7af-53e6e60394a8,Device,AMD Ryzen AI 300 Series,Advanced Micro Devices (AMD),AI PC Processor / APU,https://www.amd.com/en/products/processors/laptop/ryzen.html,https://www.google.com/s2/favicons?domain=www.amd.com&sz=128,"XDNA 2 Execution Engine, ONNX Runtime, Amd Ryzen AI Software Stack","Zen 5 CPU Cores, RDNA 3.5 Graphics, XDNA 2 Architecture NPU (up to 50 TOPS), 4nm Process Technology",2024 / Available,A mobile laptop processor platform incorporating the XDNA 2 architecture NPU delivering 50 TOPS for real-time Copilot+ local AI assistance.,Official Product Site / Specifications,https://www.amd.com/en/products/processors/laptop/ryzen.html,,,,,,,,,,,,,
5f9365bb-a755-54f9-875d-dd8472dfada3,Device,Intel Core Ultra 200V (Lunar Lake),Intel Corporation,AI PC Processor / SoC,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html,https://www.google.com/s2/favicons?domain=www.intel.com&sz=128,"Intel OpenVINO Toolkit, DirectML, Local Stable Diffusion, Copilot+ Engine","Lion Cove P-cores + Skymont E-cores, Xe2 Graphics, NPU 4 Matrix Acceleration (up to 48 TOPS), Total System 120 TOPS",2024 / Available,A client computing processor architecture featuring an integrated NPU 4 engine optimized for power-efficient local AI inference and computer vision.,Official Product Site / Specifications,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html,,,,,,,,,,,,,
5e2de766-abc4-5dd2-8392-64c0c024aa1f,Device,Unitree H1 Humanoid Robot,Unitree Robotics,Humanoid Robotics AI Platform,https://www.unitree.com/h1,https://www.google.com/s2/favicons?domain=www.unitree.com&sz=128,"Unitree Robot Motion AI Engine, 3D LiDAR SLAM, Reinforcement Learning Locomotion","3D LiDAR Sensor, Depth Camera, High-Torque Joint Motors (360 N.m), Dual Intel Core i7 Compute Nodes, 3.3 m/s Walking Speed",2023 / Available,A full-sized humanoid robot platform engineered with high-torque joint motors and real-time reinforcement learning for dynamic walking and terrain adaptation.,Official Product Site / Specifications,https://www.unitree.com/h1,,,,,,,,,,,,,
88f8a183-3751-546e-8e99-78ef6caed067,Device,Boston Dynamics Spot,Boston Dynamics (Hyundai),Autonomous Quadruped AI Robot,https://bostondynamics.com/products/spot,https://www.google.com/s2/favicons?domain=bostondynamics.com&sz=128,"Autowalk SLAM Engine, Thermal Inspection Analytics, Spot CORE AI Payload","360-degree Perception Cameras, Spot CORE I/O Edge Computer (NVIDIA Jetson / Intel), IP67 Weatherproofing, Swappable Batteries",2020 / Available,"An agile quadruped robot designed for autonomous industrial inspection, hazardous site mapping, and edge sensor deployment in complex environments.",Official Product Site / Specifications,https://bostondynamics.com/products/spot,,,,,,,,,,,,,
e6a6ee66-4cef-5497-8ae6-bd7187a74d48,Device,01 Light Open Voice Interface,Open Interpreter,Open-Source Voice AI Hardware,https://github.com/OpenInterpreter/01,https://www.google.com/s2/favicons?domain=github.com&sz=128,"01 Server Engine, Open Interpreter, Local Whisper, Llama 3","ESP32 Wi-Fi Module, Microphone, Speaker, Rechargeable Battery, Custom 3D Printed Enclosure",2024 / Available,An open-source voice interface client that connects to home servers to execute natural language computer automation scripts and system tasks.,Official Product Site / Specifications,https://github.com/OpenInterpreter/01,,,,,,,,,,,,,
48194441-93b6-5340-8034-186cfda311cc,Device,Kneron KL730 NPU Chip,Kneron Inc.,Edge Transformer NPU Chip,https://www.kneron.com/products/soc/kl730,https://www.google.com/s2/favicons?domain=www.kneron.com&sz=128,"Kneo Framework, Kneron Reconfigurable NPU Engine, Lightweight Transformer Models","0.35 TOPS/W Energy Efficiency, Dual ARM Cortex-M4 CPU, USB 3.0 / PCIe Gen 2 Interface, nano-Watt standby mode",2023 / Available,An ultra-low-power reconfigurable NPU chip designed specifically for executing lightweight Transformer models and vision processing on edge devices.,Official Product Site / Specifications,https://www.kneron.com/products/soc/kl730,,,,,,,,,,,,,
fe5cbf90-50e6-5eed-9e68-c84caffaae79,Device,MemryX MX3 Edge Acceleration Card,MemryX Inc.,At-Memory Computing AI Chip,https://memryx.com/products,https://www.google.com/s2/favicons?domain=memryx.com&sz=128,"MemryX Software Developer Kit, OpenVINO Model Importer, ONNX Vision Models","At-Memory Compute Architecture, PCIe / M.2 Form Factor, Zero-Weight Loading Latency, <10W Power Consumption",2024 / Available,"An edge AI acceleration processing card based on at-memory computing principles, providing zero-weight loading latency for high-frame-rate video streams.",Official Product Site / Specifications,https://memryx.com/products,,,,,,,,,,,,,
b5fcd092-f470-5b15-91e4-3e45592deb54,Device,Tenstorrent Wormhole PCIe Card,Tenstorrent,RISC-V AI Accelerator,https://tenstorrent.com/hardware/wormhole,https://www.google.com/s2/favicons?domain=tenstorrent.com&sz=128,"TT-Buda Software Stack, TT-Metalium, Llama 3 8B, DeepSeek Coder","Tensix Core Architecture, Integrated RISC-V Processors, 12MB SRAM per tile, GDDR6 Memory, 100GbE Mesh Interconnect",2023 / Available,"A high-density RISC-V based neural network acceleration card designed for scalable, open-source AI training and LLM inference clusters.",Official Product Site / Specifications,https://tenstorrent.com/hardware/wormhole,,,,,,,,,,,,,
66cf6ba0-8be6-51bb-a51c-47b7d8b774a9,Device,Seeed Studio SenseCAP WATCHER,Seeed Studio,Physical AI Sensor Node,https://www.seeedstudio.com/SenseCAP-Watcher-W1-A-p-5902.html,https://www.google.com/s2/favicons?domain=www.seeedstudio.com&sz=128,"SenseCraft AI, Local Vision-Language SLM, Micro-LLM","ESP32-S3 SoC, Himax WiseEye2 HX6538 NPU, Camera Sensor, RGB Dial Display, Wi-Fi / BLE, Wheel Switch",2024 / Available,A compact physical AI sensor node with a local vision-language processor that triggers custom alerts and automation based on natural language conditions.,Official Product Site / Specifications,https://www.seeedstudio.com/SenseCAP-Watcher-W1-A-p-5902.html,,,,,,,,,,,,,
ee36e8ec-6252-5035-91bb-e68d135d46b7,Device,M5Stack UnitV2 AI Camera,M5Stack,Standalone Linux AI Camera Module,https://docs.m5stack.com/en/unit/v2,https://www.google.com/s2/favicons?domain=docs.m5stack.com&sz=128,"VFA (Vision Fitting Agent), OpenCV Edge, Custom TensorFlow Lite","Sigmastar SSD337DE SoC, Dual Cortex-A7 1.2GHz, 128MB DDR3, Full HD Camera Sensor, USB-C OTG, Wi-Fi 4",2021 / Available,An all-in-one Linux-based standalone camera module pre-loaded with state-of-the-art computer vision models for plug-and-play object tracking and recognition.,Official Product Site / Specifications,https://docs.m5stack.com/en/unit/v2,,,,,,,,,,,,,
f9f84107-c941-512a-b5de-6885a5c9fb6d,Device,Arduino Portenta H7,Arduino S.r.l.,Industrial Edge TinyML Board,https://store.arduino.cc/products/portenta-h7,https://www.google.com/s2/favicons?domain=store.arduino.cc&sz=128,"Edge Impulse TinyML Engine, TensorFlow Lite for Microcontrollers","STM32H747XI Dual-Core (Cortex-M7 @ 480MHz + Cortex-M4 @ 240MHz), Chrom-ART Graphics Hardware Accelerator, Crypto-element",2020 / Available,"A dual-core industrial microcontroller board designed to execute real-time TinyML inference, anomaly detection, and low-power predictive maintenance.",Official Product Site / Specifications,https://store.arduino.cc/products/portenta-h7,,,,,,,,,,,,,
5d1d8161-32be-5401-85fd-626a368039fe,Device,Useful Sensors Person Sensor,Useful Sensors Inc.,TinyML Hardware Sensor Module,https://usefulsensors.com/person-sensor,https://www.google.com/s2/favicons?domain=usefulsensors.com&sz=128,"Pre-installed Facial Detection Neural Net, Expressive Gesture Classifier","Integrated Image Sensor, Onboard Neural Network SoC, I2C Interface, 3.3V Power, <150mW Operating Power",2022 / Available,"A low-cost, privacy-focused hardware module that outputs facial detection and location coordinates over I2C without storing or transmitting raw video frames.",Official Product Site / Specifications,https://usefulsensors.com/person-sensor,,,,,,,,,,,,,
4f55b51c-1567-5825-9832-385870c417b8,Device,Vuzix Shield Smart Glasses,Vuzix Corporation,Enterprise AR Smart Glasses,https://www.vuzix.com/products/vuzix-shield-smart-glasses,https://www.google.com/s2/favicons?domain=www.vuzix.com&sz=128,"Vuzix Voice Control Engine, Enterprise Barcode ML, Remote Assist AI","Qualcomm Snapdragon XR2 Platform, Dual Micro-LED Waveguide Displays, 13MP Stereo Cameras, Noise-Canceling Mics",2023 / Available,Enterprise safety-rated AR smart glasses incorporating binocular micro-LED displays and noise-canceling audio for hands-free industrial field operations.,Official Product Site / Specifications,https://www.vuzix.com/products/vuzix-shield-smart-glasses,,,,,,,,,,,,,
62fc8bf1-7d10-5755-99e1-84f6667bd679,Device,Varjo XR-4 Series,Varjo Technologies,Enterprise XR / Photorealistic Pass-through,https://varjo.com/products/xr-4,https://www.google.com/s2/favicons?domain=varjo.com&sz=128,"Varjo Base Software, Real-time LiDAR Depth Perception Engine, Eye-Tracking ML","Dual 4K x 4K Displays (51 PPD), Dual 20MP Passthrough Cameras, Integrated LiDAR, Auto-IPD, Ultrabright Micro-OLED",2024 / Available,"Industrial-grade photorealistic mixed reality headset with human-eye resolution displays, LiDAR depth sensing, and real-time pass-through for simulation training.",Official Product Site / Specifications,https://varjo.com/products/xr-4,,,,,,,,,,,,,
5fd71a94-61ed-53fb-abc7-ed4cdf43f382,Device,Ultrahuman Ring AIR,Ultrahuman Healthcare,Smart Ring / Predictive Health AI,https://www.ultrahuman.com/ring-air,https://www.google.com/s2/favicons?domain=www.ultrahuman.com&sz=128,"Ultrahuman PowerPlug AI Engine, Circadian Rhythm Alignment ML","Fighter-grade Titanium, PPG Motion Sensor Array, Non-contact Medical Grade Skin Temp Sensor, 2.4g Ultra-lightweight",2023 / Available,"An ultra-lightweight smart ring that uses predictive machine learning to offer real-time insights into metabolic health, sleep recovery, and movement.",Official Product Site / Specifications,https://www.ultrahuman.com/ring-air,,,,,,,,,,,,,
f9638b81-7b70-50c5-b6ad-948d9454a2e4,Device,Whoop 4.0,Whoop Inc.,Screenless Health Wearable,https://www.whoop.com,https://www.google.com/s2/favicons?domain=www.whoop.com&sz=128,"Whoop Coach (GPT-4o powered), Strain & Recovery Machine Learning Models","5-LED Heart Rate Sensor array, Pulse Oximeter, Skin Temperature Sensor, Waterproof Battery Pack, Any-Wear Mounting",2021 / Available,"A screenless health tracking strap that continuously measures physiological strain, recovery, and sleep, featured alongside a personalized GPT-4 powered coach.",Official Product Site / Specifications,https://www.whoop.com,,,,,,,,,,,,,
971448f9-f71d-57d6-ae23-0bfd4cc41d87,Device,Skydio X10 Autonomous Drone,Skydio Inc.,Autonomous AI Inspection Drone,https://www.skydio.com/x10,https://www.google.com/s2/favicons?domain=www.skydio.com&sz=128,"Skydio Autonomy Engine, Onboard 3D Obstacle Avoidance Net, Thermal AI Inspector","NVIDIA Jetson Orin SoC, 6x Navigation Cameras, High-Resolution Radiometric Thermal Payload, Modular Sensor Bay",2023 / Available,An autonomous enterprise inspection drone powered by onboard NVIDIA Jetson Orin processing for full 360-degree obstacle avoidance in zero-GPS environments.,Official Product Site / Specifications,https://www.skydio.com/x10,,,,,,,,,,,,,
6d396cd9-2c11-5e73-8746-c8e29f7fcf64,Device,Axelera AI Metis AIPU Acceleration Card,Axelera AI,Edge Acceleration Processing Unit,https://www.axelera.ai/products,https://www.google.com/s2/favicons?domain=www.axelera.ai&sz=128,"Voyager SDK, In-Memory Computing Vision Acceleration, YOLO-NAS","Metis AIPU SoC, 214 TOPS Peak Performance, 3200 FPS ResNet-50 Throughput, PCIe Gen 4 x4 Form Factor",2024 / Available,A high-performance edge AI acceleration PCIe card combining digital in-memory computing with a RISC-V control block for high-throughput computer vision.,Official Product Site / Specifications,https://www.axelera.ai/products,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
